reference,indice,mois,n,valeur,etendue_pct,brut,rapport,fournisseurs
ZTP 101,ZTP101 (Heren),2026-09,4,57.687,14.14,61.768,0.9339,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-01,13,27.828,0.02,27.828,1.0,engie
ZTP DAM,ZTPDAM (Heren),2026-02,14,31.168,21.45,32.291,0.9652,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-03,7,32.287,6.63,32.291,0.9999,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-04,7,54.299,0.67,50.649,1.0721,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-05,7,44.674,0.0,44.672,1.0,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-06,14,45.614,4.14,46.56,0.9797,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-07,7,44.344,0.01,44.345,1.0,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-08,7,53.112,0.0,53.116,0.9999,engie
ZTP DAM (M-1),ZTPDAM (Heren),2026-09,7,61.538,0.0,61.537,1.0,engie
